n_img,n_row,n_col,tile_type,h,s,v
3,1,4,0,26.0,247.0,190.0
3,2,1,0,26.0,239.0,194.0
3,2,2,0,26.0,250.0,193.0
3,2,3,0,26.0,235.0,190.0
3,2,4,0,26.0,243.0,189.0
3,3,1,0,26.0,235.0,192.0
3,3,2,0,26.0,246.0,191.0
3,1,2,1,37.0,228.0,140.0
3,1,3,1,44.0,204.0,145.0
3,3,3,2,37.0,166.0,60.0
3,3,4,2,35.0,163.0,58.0
3,0,3,3,23.0,112.0,130.0
3,0,0,4,105.0,240.0,144.0
3,1,0,4,105.0,250.0,159.0
3,2,0,4,106.0,253.0,164.0
3,3,0,4,105.0,240.0,142.0
3,4,0,4,105.0,253.0,173.0
3,4,1,4,105.0,254.0,173.0
3,4,3,4,106.0,254.0,165.0
3,4,4,4,106.0,253.0,163.0
3,4,2,6,30.0,62.0,123.0
4,4,4,0,26.0,243.0,205.0
4,0,0,1,43.0,210.0,162.0
4,1,0,1,44.0,208.0,162.0
4,1,4,1,42.0,213.0,159.0
4,2,0,1,41.0,206.0,160.0
4,2,4,1,40.0,219.0,154.0
4,3,0,1,43.0,219.0,156.0
4,3,3,1,37.0,211.0,150.0
4,3,4,1,39.0,226.0,149.0
4,4,3,1,39.0,208.0,139.0
4,0,2,2,45.0,162.0,67.0
4,0,3,2,41.0,155.0,63.0
4,0,4,2,43.0,168.0,64.0
4,1,1,2,46.0,165.0,62.0
4,1,2,2,43.0,171.0,64.0
4,1,3,2,36.0,166.0,69.0
4,2,3,2,43.0,172.0,61.0
4,4,0,2,48.0,99.0,66.0
4,2,1,3,23.0,118.0,110.0
4,3,1,3,23.0,134.0,122.0
4,0,1,4,105.0,251.0,189.0
4,3,2,4,104.0,249.0,186.0
4,4,1,4,105.0,225.0,157.0
4,4,2,4,106.0,225.0,150.0
4,2,2,6,32.0,128.0,71.0
5,0,0,0,26.0,249.0,185.0
5,0,2,0,26.0,244.0,185.0
5,1,2,0,26.0,226.0,105.0
5,1,3,0,26.0,246.0,189.0
5,2,3,0,26.0,246.0,191.0
5,2,4,0,26.0,245.0,192.0
5,3,4,0,26.0,239.0,186.0
5,4,0,0,26.0,245.0,199.0
5,4,1,0,26.0,241.0,199.0
5,3,2,1,42.0,218.0,158.0
5,3,3,1,44.0,218.0,152.0
5,4,4,1,42.0,216.0,151.0
5,1,4,2,47.0,156.0,53.0
5,0,1,3,26.0,72.0,123.0
5,0,4,3,23.0,129.0,113.0
5,1,1,3,23.0,131.0,97.0
5,2,1,3,23.0,129.0,104.0
5,4,2,3,23.0,160.0,122.0
5,4,3,3,26.0,110.0,128.0
5,0,3,5,24.0,130.0,46.0
5,1,0,5,24.0,85.0,38.0
5,2,0,5,24.0,81.0,41.0
5,3,0,5,24.0,88.0,39.0
5,3,1,5,24.0,110.0,68.0
5,2,2,6,27.0,112.0,77.0
6,0,1,0,25.0,238.0,180.0
6,1,0,0,26.0,244.0,194.0
6,1,1,0,26.0,233.0,192.0
6,2,1,0,25.0,233.0,177.0
6,3,0,0,26.0,243.0,197.0
6,0,2,2,43.0,166.0,53.0
6,0,3,2,46.0,145.0,46.0
6,0,4,2,46.0,144.0,46.0
6,1,2,2,38.0,117.0,54.0
6,1,3,2,51.0,120.0,47.0
6,1,4,2,49.0,138.0,49.0
6,2,3,2,46.0,143.0,47.0
6,3,1,2,35.0,174.0,61.0
6,3,2,2,42.0,188.0,50.0
6,3,3,2,37.0,179.0,57.0
6,4,3,2,43.0,162.0,51.0
6,0,0,3,22.0,142.0,109.0
6,2,4,4,106.0,250.0,150.0
6,3,4,4,106.0,253.0,161.0
6,4,0,4,105.0,252.0,171.0
6,4,1,4,105.0,254.0,174.0
6,4,2,4,105.0,250.0,161.0
6,4,4,4,106.0,248.0,131.0
6,2,0,5,24.0,67.0,42.0
6,2,2,6,31.0,116.0,65.0
7,0,1,0,26.0,236.0,203.0
7,0,2,0,26.0,236.0,197.0
7,0,4,0,26.0,243.0,199.0
7,1,1,0,26.0,239.0,197.0
7,1,4,0,26.0,242.0,199.0
7,2,1,0,26.0,236.0,202.0
7,2,2,0,26.0,247.0,201.0
7,2,3,0,26.0,232.0,198.0
7,2,4,0,26.0,240.0,198.0
7,3,1,0,26.0,231.0,200.0
7,3,2,0,26.0,241.0,200.0
7,1,2,1,37.0,222.0,147.0
7,1,3,1,43.0,200.0,153.0
7,3,3,2,36.0,162.0,66.0
7,3,4,2,35.0,155.0,65.0
7,0,3,3,23.0,114.0,138.0
7,0,0,4,105.0,238.0,152.0
7,1,0,4,105.0,248.0,166.0
7,2,0,4,105.0,251.0,174.0
7,3,0,4,105.0,235.0,150.0
7,4,0,4,105.0,251.0,183.0
7,4,1,4,105.0,252.0,180.0
7,4,3,4,106.0,254.0,171.0
7,4,4,4,106.0,254.0,175.0
7,4,2,6,30.0,53.0,90.0
8,0,2,0,27.0,244.0,192.0
8,0,3,0,26.0,239.0,185.0
8,1,0,0,26.0,246.0,192.0
8,1,3,0,26.0,242.0,188.0
8,2,3,0,27.0,248.0,194.0
8,2,4,0,26.0,244.0,194.0
8,3,0,0,27.0,238.0,193.0
8,3,2,0,26.0,242.0,194.0
8,3,3,0,26.0,242.0,195.0
8,4,2,0,26.0,231.0,189.0
8,4,3,0,26.0,234.0,195.0
8,0,4,1,42.0,223.0,149.0
8,1,1,1,40.0,228.0,138.0
8,2,1,1,41.0,210.0,154.0
8,2,2,1,37.0,222.0,144.0
8,1,4,2,36.0,182.0,63.0
8,3,1,3,24.0,129.0,116.0
8,4,0,3,23.0,108.0,117.0
8,4,1,3,24.0,90.0,133.0
8,1,2,4,105.0,252.0,160.0
8,4,4,4,105.0,252.0,161.0
8,0,1,5,24.0,88.0,41.0
8,3,4,6,28.0,102.0,139.0
8,0,0,7,21.0,168.0,159.0
8,2,0,7,21.0,168.0,159.0
9,0,0,0,26.0,245.0,156.0
9,2,4,0,26.0,254.0,178.0
9,3,3,0,26.0,241.0,182.0
9,3,4,0,26.0,248.0,181.0
9,1,1,2,36.0,185.0,47.0
9,3,2,2,45.0,200.0,49.0
9,4,2,2,45.0,189.0,51.0
9,4,3,2,39.0,144.0,56.0
9,4,4,2,46.0,163.0,51.0
9,1,2,3,24.0,148.0,86.0
9,1,3,3,24.0,134.0,100.0
9,2,3,3,23.0,150.0,89.0
9,1,0,4,107.0,253.0,154.0
9,2,0,4,107.0,253.0,151.0
9,2,1,4,106.0,255.0,158.0
9,3,0,4,106.0,255.0,165.0
9,3,1,4,106.0,252.0,150.0
9,4,0,4,105.0,254.0,169.0
9,4,1,4,106.0,252.0,156.0
9,0,1,5,24.0,102.0,33.0
9,0,2,5,24.0,111.0,32.0
9,0,3,5,24.0,106.0,34.0
9,2,2,6,22.0,66.0,113.0
9,0,4,7,20.0,222.0,122.0
9,1,4,7,20.0,216.0,125.0
10,1,1,0,26.0,248.0,181.0
10,1,2,0,26.0,248.0,170.0
10,2,1,0,26.0,243.0,181.0
10,2,2,0,26.0,252.0,179.0
10,3,1,1,39.0,231.0,111.0
10,3,2,1,42.0,228.0,131.0
10,4,2,1,41.0,233.0,127.0
10,0,0,2,46.0,166.0,51.0
10,0,1,2,36.0,155.0,51.0
10,0,2,2,48.0,165.5,43.0
10,0,3,2,43.0,154.0,41.0
10,0,4,2,49.0,148.0,37.0
10,1,3,2,44.0,152.0,43.0
10,1,4,2,49.0,132.0,38.5
10,2,3,2,38.0,166.0,46.0
10,3,3,2,36.0,161.0,46.0
10,3,4,2,48.0,157.0,40.0
10,4,3,2,43.0,177.0,42.0
10,4,4,2,42.0,166.0,43.0
10,1,0,4,106.0,246.0,123.0
10,2,0,4,105.0,244.0,128.0
10,3,0,4,106.0,249.0,123.0
10,2,4,6,33.0,66.0,97.0
10,4,0,7,21.0,199.0,146.0
10,4,1,7,21.0,197.0,145.0
11,0,0,0,26.0,245.0,193.0
11,0,1,0,26.0,246.0,191.0
11,3,3,0,26.0,236.0,188.0
11,4,3,0,26.0,241.0,187.0
11,0,2,1,45.0,225.0,150.0
11,0,3,1,43.0,222.0,154.0
11,2,0,1,43.0,217.0,155.0
11,2,1,1,42.0,237.0,147.0
11,2,2,1,38.0,225.0,135.0
11,3,0,1,43.0,219.0,155.0
11,3,2,1,44.0,206.0,144.0
11,1,0,2,45.0,137.0,59.0
11,2,3,2,45.0,186.0,57.0
11,3,1,3,23.0,151.0,107.0
11,4,0,3,22.0,151.0,116.0
11,4,1,3,26.0,102.0,123.0
11,1,1,4,105.0,245.0,142.0
11,1,2,4,105.0,253.0,169.0
11,1,3,4,105.0,254.0,173.0
11,2,4,4,105.0,254.0,169.0
11,3,4,4,106.0,255.0,168.0
11,4,4,4,105.0,245.0,134.0
11,4,2,6,34.0,59.0,123.0
11,0,4,7,21.0,200.0,147.0
11,1,4,7,20.0,209.0,143.0
12,0,2,0,27.0,244.0,190.0
12,0,3,0,26.0,239.0,184.0
12,1,0,0,26.0,247.0,190.0
12,1,3,0,26.0,242.0,186.0
12,2,3,0,27.0,248.0,192.0
12,2,4,0,26.0,244.0,191.0
12,3,0,0,27.0,237.0,190.0
12,3,2,0,27.0,242.0,191.0
12,3,3,0,26.0,244.0,190.0
12,4,2,0,26.0,230.0,185.0
12,4,3,0,26.0,235.0,192.0
12,0,4,1,42.0,222.0,147.0
12,1,1,1,40.0,228.0,136.0
12,2,1,1,42.0,210.0,152.0
12,2,2,1,38.0,220.0,139.0
12,1,4,2,36.0,180.0,61.0
12,3,1,3,24.0,124.0,112.0
12,4,0,3,24.0,106.0,115.0
12,4,1,3,24.0,86.0,129.0
12,1,2,4,106.0,252.0,157.0
12,4,4,4,105.0,253.0,159.0
12,0,1,5,25.0,75.0,42.0
12,3,4,6,29.0,128.0,62.0
12,0,0,7,21.0,167.0,157.0
12,2,0,7,21.0,168.0,156.0
13,0,0,0,26.0,245.0,154.0
13,2,4,0,26.0,254.0,176.0
13,3,3,0,26.0,241.0,181.0
13,3,4,0,26.0,248.0,180.0
13,1,1,2,36.0,176.0,44.0
13,3,2,2,45.0,195.0,48.0
13,4,2,2,46.0,181.0,49.0
13,4,3,2,40.0,140.0,54.0
13,4,4,2,48.0,150.0,49.0
13,1,2,3,25.0,128.0,76.0
13,1,3,3,24.0,130.0,97.0
13,2,3,3,23.0,152.0,81.0
13,1,0,4,107.0,253.0,154.0
13,2,0,4,107.0,253.0,152.0
13,2,1,4,107.0,255.0,154.0
13,3,0,4,106.0,255.0,165.0
13,3,1,4,106.0,252.0,149.0
13,4,0,4,106.0,254.0,170.0
13,4,1,4,106.0,252.0,155.0
13,0,1,5,24.0,93.0,32.0
13,0,2,5,24.0,116.0,36.0
13,0,3,5,24.0,106.0,36.0
13,2,2,6,30.0,105.0,64.0
13,0,4,7,20.0,221.0,121.0
13,1,4,7,20.0,215.0,124.0
14,1,1,0,26.0,248.0,179.0
14,1,2,0,26.0,248.0,166.0
14,2,1,0,26.0,244.0,179.0
14,2,2,0,26.0,252.0,176.0
14,3,1,1,40.0,230.0,108.0
14,3,2,1,43.0,229.0,128.0
14,4,2,1,41.0,233.0,124.0
14,0,0,2,46.0,160.0,48.0
14,0,1,2,37.0,144.0,49.0
14,0,2,2,48.0,153.0,42.0
14,0,3,2,45.0,148.0,41.0
14,0,4,2,50.0,137.0,36.0
14,1,3,2,45.0,154.0,41.0
14,1,4,2,51.0,127.0,38.0
14,2,3,2,38.0,152.0,38.0
14,3,3,2,35.0,153.0,44.0
14,3,4,2,49.0,158.0,39.0
14,4,3,2,43.0,163.0,41.0
14,4,4,2,43.0,153.0,42.0
14,1,0,4,106.0,247.0,121.0
14,2,0,4,105.0,246.0,124.0
14,3,0,4,107.0,250.0,123.0
14,2,4,6,32.0,84.0,45.0
14,4,0,7,21.0,199.0,142.0
14,4,1,7,21.0,194.0,142.0
15,0,0,0,26.0,246.0,191.0
15,0,1,0,26.0,247.0,189.0
15,3,3,0,26.0,237.0,185.0
15,4,3,0,26.0,244.0,181.0
15,0,2,1,45.0,226.0,148.0
15,0,3,1,43.0,223.0,151.0
15,2,0,1,44.0,217.0,152.0
15,2,1,1,43.0,238.0,144.0
15,2,2,1,39.0,228.0,132.0
15,3,0,1,43.0,220.0,152.0
15,3,2,1,44.0,204.0,141.0
15,1,0,2,46.0,137.0,56.0
15,2,3,2,46.0,184.0,55.0
15,3,1,3,23.0,149.0,103.0
15,4,0,3,22.0,151.0,113.0
15,4,1,3,26.0,104.0,115.0
15,1,1,4,105.0,246.0,139.0
15,1,2,4,105.0,253.0,167.0
15,1,3,4,105.0,254.0,170.0
15,2,4,4,105.0,254.0,166.0
15,3,4,4,106.0,255.0,164.0
15,4,4,4,105.0,247.0,130.0
15,4,2,6,30.0,56.0,79.0
15,0,4,7,21.0,200.0,144.0
15,1,4,7,20.0,209.0,140.0
16,0,3,0,27.0,245.0,204.0
16,1,3,0,26.0,230.0,205.0
16,2,3,0,26.0,238.0,206.0
16,4,0,0,26.0,235.0,200.0
16,0,1,1,42.0,220.0,163.0
16,1,1,1,43.0,215.0,164.0
16,2,1,1,42.0,228.0,158.0
16,3,1,1,39.0,209.0,138.0
16,4,1,1,38.0,199.0,148.0
16,0,4,2,44.0,177.0,65.0
16,1,4,2,45.0,172.0,63.0
16,2,4,2,35.0,174.0,74.0
16,3,4,2,42.0,189.0,68.0
16,0,0,3,22.0,168.5,129.0
16,0,2,3,23.0,150.0,124.5
16,1,0,3,25.0,120.0,137.0
16,1,2,3,26.0,70.0,144.0
16,2,0,3,23.0,151.0,121.0
16,3,0,3,23.0,135.0,117.0
16,3,2,4,106.0,237.0,157.0
16,3,3,4,104.0,241.0,176.0
16,4,2,4,104.0,242.0,189.0
16,4,3,4,105.0,243.0,192.0
16,4,4,4,104.0,242.0,193.0
16,2,2,6,32.0,59.0,141.0
17,0,2,0,26.0,254.0,186.0
17,0,3,0,26.0,254.0,184.0
17,1,3,0,26.0,251.0,190.0
17,1,4,0,26.0,251.0,183.0
17,2,3,0,26.0,247.0,180.0
17,2,4,0,26.0,242.0,192.0
17,0,0,1,41.0,232.0,139.0
17,0,1,2,36.0,201.0,54.0
17,1,1,2,41.0,207.0,53.0
17,1,2,2,37.0,210.0,61.0
17,2,1,2,39.0,200.0,58.0
17,3,0,2,43.0,200.0,64.0
17,3,1,2,37.0,201.0,67.0
17,3,2,2,45.0,195.0,56.0
17,3,3,2,40.0,196.0,57.0
17,3,4,2,37.0,160.0,64.0
17,4,2,2,46.0,193.0,61.0
17,4,3,2,40.0,173.0,61.0
17,4,4,2,43.0,176.0,60.0
17,0,4,4,106.0,253.0,132.0
17,4,0,4,104.0,252.0,181.0
17,4,1,4,105.0,254.0,180.0
17,2,2,6,35.0,81.0,121.0
17,1,0,7,20.0,202.0,150.0
17,2,0,7,21.0,200.0,155.0
18,0,0,0,25.0,246.0,179.0
18,1,0,0,26.0,251.0,194.0
18,1,4,0,26.0,251.0,183.0
18,2,4,0,26.0,249.0,185.0
18,3,2,0,26.0,248.0,192.0
18,4,0,0,26.0,249.0,198.0
18,4,1,0,26.0,247.0,196.0
18,4,2,0,26.0,250.0,193.0
18,4,3,0,26.0,251.0,190.0
18,4,4,0,26.0,247.0,179.0
18,0,1,1,40.0,234.0,141.0
18,0,3,1,40.0,239.0,126.0
18,1,1,1,37.0,242.0,132.0
18,1,2,1,41.0,233.0,146.0
18,1,3,1,44.0,232.0,137.0
18,0,2,2,43.0,211.0,49.0
18,2,3,2,43.0,155.0,52.0
18,3,3,2,31.0,206.0,64.0
18,2,1,3,23.0,134.0,107.0
18,3,4,3,23.0,135.0,110.0
18,0,4,4,106.0,253.0,132.0
18,2,0,5,22.0,130.0,65.0
18,3,0,5,21.0,133.0,67.0
18,3,1,5,24.0,118.0,66.0
18,2,2,6,21.0,81.0,128.0
19,4,0,0,26.0,235.0,204.0
19,4,1,0,25.0,231.0,197.0
19,4,2,0,26.0,233.0,201.0
19,4,3,0,26.0,249.0,200.0
19,4,4,0,26.0,240.0,198.0
19,1,2,1,40.0,216.0,164.0
19,3,2,1,43.0,200.0,157.0
19,3,3,1,38.0,221.0,148.0
19,1,0,2,40.0,194.0,66.0
19,1,3,2,41.0,193.0,66.0
19,2,3,2,43.0,141.0,66.0
19,1,1,3,23.0,137.0,124.0
19,2,1,3,24.0,127.0,141.0
19,0,0,4,104.0,245.0,176.0
19,0,1,4,104.0,252.0,189.0
19,0,2,4,105.0,254.0,187.0
19,0,3,4,105.0,251.0,178.0
19,0,4,4,105.0,253.0,183.0
19,1,4,4,105.0,247.0,150.0
19,2,4,4,105.0,239.0,151.0
19,3,4,4,105.0,237.0,149.0
19,2,0,5,23.0,98.0,52.0
19,3,0,5,24.0,60.0,45.0
19,3,1,5,23.0,60.0,44.0
19,2,2,6,28.0,108.0,150.0
20,0,3,0,26.0,245.0,204.0
20,1,3,0,26.0,229.0,205.0
20,2,3,0,26.0,239.0,206.0
20,4,0,0,26.0,235.0,200.0
20,0,1,1,42.0,220.0,163.0
20,1,1,1,43.0,215.0,164.0
20,2,1,1,43.0,230.0,144.0
20,3,1,1,39.0,210.0,140.0
20,4,1,1,38.0,198.0,149.0
20,0,4,2,43.0,173.0,66.0
20,1,4,2,43.0,171.0,64.0
20,2,4,2,35.0,169.0,73.0
20,3,4,2,43.0,184.0,69.0
20,0,0,3,22.0,165.0,129.0
20,0,2,3,23.0,149.0,124.0
20,1,0,3,25.0,118.0,137.0
20,1,2,3,26.0,68.0,144.0
20,2,0,3,23.0,147.0,120.0
20,3,0,3,23.0,132.0,119.0
20,3,2,4,106.0,237.0,159.0
20,3,3,4,104.0,242.0,180.0
20,4,2,4,105.0,241.0,191.0
20,4,3,4,105.0,242.0,195.0
20,4,4,4,104.0,241.0,196.0
20,2,2,6,39.0,85.0,53.0
21,0,2,0,26.0,254.0,187.0
21,0,3,0,26.0,254.0,184.0
21,1,3,0,26.0,251.0,190.0
21,1,4,0,26.0,250.0,182.0
21,2,3,0,26.0,247.0,165.0
21,2,4,0,26.0,241.0,193.0
21,0,0,1,42.0,234.0,138.0
21,0,1,2,36.0,197.0,52.0
21,1,1,2,43.0,203.0,51.0
21,1,2,2,38.0,193.0,59.0
21,2,1,2,41.0,194.0,54.0
21,3,0,2,44.0,196.0,63.0
21,3,1,2,37.0,193.0,65.0
21,3,2,2,46.0,191.0,56.0
21,3,3,2,41.0,193.0,57.0
21,3,4,2,38.0,160.0,64.0
21,4,2,2,46.0,188.0,61.0
21,4,3,2,40.0,173.0,61.0
21,4,4,2,44.0,172.0,60.0
21,0,4,4,106.0,253.0,133.0
21,4,0,4,105.0,254.0,184.0
21,4,1,4,105.0,254.0,181.0
21,2,2,6,40.0,116.0,61.0
21,1,0,7,20.0,201.0,150.0
21,2,0,7,21.0,198.0,154.0
22,0,0,0,25.0,245.0,180.0
22,1,0,0,26.0,251.0,195.0
22,1,4,0,26.0,250.0,184.0
22,2,4,0,26.0,248.0,186.0
22,3,2,0,26.0,247.0,195.0
22,4,0,0,26.0,249.0,200.0
22,4,1,0,26.0,246.0,197.0
22,4,2,0,26.0,250.0,195.0
22,4,3,0,26.0,250.0,192.0
22,4,4,0,26.0,246.0,181.0
22,0,1,1,40.0,232.0,141.0
22,0,3,1,40.0,239.0,128.0
22,1,1,1,38.0,239.0,132.0
22,1,2,1,42.0,230.0,145.0
22,1,3,1,44.0,236.0,136.0
22,0,2,2,42.0,203.0,49.0
22,2,3,2,45.0,160.0,51.0
22,3,3,2,34.0,188.0,61.0
22,2,1,3,23.0,137.0,108.0
22,3,4,3,23.0,126.0,118.0
22,0,4,4,107.0,253.0,138.0
22,2,0,5,23.0,113.0,51.0
22,3,0,5,22.0,116.0,57.0
22,3,1,5,24.0,115.0,55.0
22,2,2,6,23.0,135.0,77.0
23,4,0,0,26.0,233.0,205.0
23,4,1,0,25.0,230.0,197.0
23,4,2,0,26.0,231.0,202.0
23,4,3,0,26.0,246.0,201.0
23,4,4,0,26.0,238.0,199.0
23,1,2,1,39.0,212.0,166.0
23,3,2,1,43.0,199.0,159.0
23,3,3,1,38.0,217.0,149.0
23,1,0,2,42.0,186.0,68.0
23,1,3,2,42.0,183.0,65.0
23,2,3,2,44.0,140.5,60.0
23,1,1,3,23.0,130.0,126.0
23,2,1,3,23.0,126.0,132.0
23,0,0,4,104.0,247.0,181.0
23,0,1,4,105.0,252.0,191.0
23,0,2,4,105.0,252.0,190.0
23,0,3,4,105.0,251.0,182.0
23,0,4,4,105.0,252.0,186.0
23,1,4,4,105.0,245.0,155.0
23,2,4,4,105.0,238.0,155.0
23,3,4,4,105.0,238.0,151.0
23,2,0,5,23.0,98.0,52.0
23,3,0,5,24.0,58.0,47.0
23,3,1,5,23.0,58.0,44.0
23,2,2,6,28.0,119.0,100.0
24,0,4,0,26.0,231.0,203.0
24,1,4,0,26.0,234.0,197.0
24,2,4,0,26.0,232.0,206.0
24,3,4,0,26.0,239.0,206.0
24,4,4,0,26.0,228.0,200.0
24,4,0,1,42.0,200.0,164.0
24,1,1,2,46.0,132.0,70.0
24,1,2,2,45.0,158.0,68.0
24,2,1,2,37.0,148.0,78.0
24,3,1,2,42.0,163.0,67.0
24,4,1,2,35.0,153.0,77.0
24,3,2,3,23.0,105.0,138.0
24,0,1,4,106.0,237.0,202.0
24,0,2,4,106.0,234.0,162.0
24,0,3,4,106.0,222.0,163.0
24,1,3,4,106.0,244.0,184.0
24,2,0,4,106.0,233.0,204.0
24,2,3,4,106.0,248.0,184.0
24,3,0,4,105.0,235.5,183.0
24,3,3,5,24.0,99.0,59.0
24,4,2,5,22.0,117.0,73.0
24,4,3,5,23.0,51.0,43.0
24,2,2,6,29.0,60.0,140.0
24,0,0,7,19.0,111.0,184.0
24,1,0,7,19.0,127.0,179.0
25,1,1,0,26.0,238.0,198.0
25,2,1,0,26.0,234.0,201.0
25,3,0,0,26.0,229.0,203.0
25,3,1,0,26.0,236.0,203.0
25,0,0,2,48.0,155.0,55.0
25,0,1,2,48.0,161.0,58.0
25,0,2,2,48.0,147.0,54.0
25,0,3,2,50.0,120.0,53.0
25,1,0,2,35.0,163.0,67.0
25,1,2,2,44.0,147.0,62.0
25,1,3,2,51.0,120.0,57.0
25,2,3,2,50.0,102.0,60.0
25,3,2,2,37.0,148.0,70.0
25,3,3,2,47.0,138.0,59.0
25,0,4,4,106.0,254.0,182.0
25,1,4,4,106.0,254.0,186.0
25,2,4,4,106.0,237.0,151.0
25,3,4,4,106.0,247.0,179.0
25,4,0,4,105.0,236.0,157.0
25,4,1,4,105.0,251.0,198.0
25,4,2,4,105.0,252.0,197.0
25,4,3,4,106.0,252.0,195.0
25,4,4,4,106.0,251.0,186.0
25,2,0,5,24.0,62.0,46.0
25,2,2,6,28.0,89.0,144.0
26,0,2,0,26.0,239.0,195.0
26,0,3,0,26.0,241.0,191.0
26,0,4,0,26.0,239.0,190.0
26,1,3,0,26.0,247.0,194.0
26,2,3,0,26.0,241.0,194.0
26,3,2,0,26.0,229.0,197.0
26,3,3,0,26.0,236.0,185.0
26,4,0,0,26.0,241.0,201.0
26,0,0,1,43.0,207.0,160.0
26,0,1,1,44.0,202.0,155.0
26,1,1,1,40.0,215.0,130.0
26,1,2,1,38.0,212.0,135.0
26,2,1,1,38.0,212.0,142.0
26,3,0,1,38.0,218.0,143.0
26,3,1,1,43.0,208.0,162.0
26,4,1,1,45.0,207.0,158.0
26,1,4,2,45.0,150.0,56.0
26,2,4,2,35.0,147.0,60.0
26,3,4,2,42.0,135.0,57.0
26,4,2,2,38.0,113.0,70.0
26,4,3,2,43.0,121.0,65.0
26,4,4,2,48.0,104.0,66.0
26,1,0,4,107.0,242.0,149.0
26,2,0,4,105.0,251.0,185.0
26,2,2,6,22.0,56.0,134.0
27,0,2,0,26.0,234.0,206.0
27,0,3,0,26.0,230.0,201.0
27,4,0,0,26.0,244.0,201.0
27,4,1,0,26.0,238.0,200.0
27,4,2,0,26.0,227.0,199.0
27,4,3,0,26.0,229.0,198.0
27,4,4,0,26.0,232.0,191.0
27,1,2,1,42.0,223.0,162.0
27,1,3,1,41.0,212.0,157.0
27,2,3,1,40.0,202.0,163.0
27,3,3,1,44.0,191.0,156.0
27,3,4,1,42.0,203.0,156.0
27,1,4,2,43.0,151.0,63.0
27,0,4,3,22.0,99.0,142.0
27,1,0,3,22.0,123.0,134.0
27,1,1,3,22.0,127.0,126.0
27,2,0,3,22.0,145.0,135.0
27,2,1,3,24.0,104.0,138.0
27,2,2,3,23.0,110.0,125.0
27,3,0,3,22.0,137.0,125.0
27,3,1,3,22.0,121.0,124.0
27,3,2,3,24.0,56.0,143.0
